event_id,landslide_trigger,landslide_size,fatality_count,admin_division_name,longitude,latitude,event_date,elevation,slope,aspect,ndvi,ndwi,population,soil_type,rainfall_3d,rainfall_7d,rainfall_14d,rainfall_30d
35,rain,medium,2,Kashmir,74.91120324,34.09349739,2007-3-12,1964,17.38948134,267.0371473,0.501254499,-0.5101647973,28.87492561,7,51.64063072,51.64063072,68.38983154,117.4752132
37,rain,medium,2,Kashmir,74.33329928,33.87780176,2007-3-19,2709,29.24790096,303.3154887,0.3556796908,-0.3639537692,0.2586887181,7,36.48324966,115.530426,189.7191181,260.8350611
43,downpour,medium,10,Kashmir,74.33129715,33.96590022,2007-3-23,3677,34.40571613,94.066242,-0.01003978774,0.002596222097,4.849047184,7,40.36266851,115.11622,252.0530791,300.3047345
73,rain,medium,0,Kashmir,75.23100105,33.24200083,2007-05-08,691,15.5389891,150.8397375,0.3602558374,-0.3641346097,8.500190735,7,0,10.64019215,16.6526953,27.91233599
111,downpour,medium,0,Kashmir,75.22742039,33.24431511,2007-07-02,836,38.40528794,244.6072866,0.2671207488,-0.2996205688,4.247404099,7,2.829915047,22.96715093,22.96715093,35.63453007
146,downpour,medium,0,Uttarakhand,78.4390032,30.73299844,2007-7-30,1430,46.24334928,172.7483503,0.6977897882,-0.6812915206,3.239362001,7,13.86089802,66.32531643,85.62707615,214.7464564
149,downpour,medium,0,Uttarakhand,79.55999891,30.55699773,2007-7-30,1851,15.45995564,297.9201297,0.2906882465,-0.3658302128,3.645549297,7,19.37277603,42.84219551,42.84219551,138.9717035
150,downpour,medium,2,Uttarakhand,79.34899871,30.4000017,2007-7-30,1342,42.28108622,36.76598701,0.5558273196,-0.5561246276,1.970486283,7,5.552551746,62.19361305,62.19361305,189.4041209
157,rain,medium,0,Kashmir,75.22569918,33.24509991,2007-08-06,771,37.21035235,215.89363,0.2619942427,-0.2642342746,2.765582323,7,5.106586456,15.31975937,15.31975937,100.0557632
173,rain,medium,0,Uttarakhand,78.3026974,30.07020212,2007-8-11,468,4.278963277,270,0.7357951403,-0.667983532,6.508765697,7,30.91347599,53.48510075,155.7184448,324.7158413
177,rain,large,2,Himachal Pradesh,77.59139944,32.73340023,2007-8-12,5761,15.48722457,283.5142496,-0.05427479744,0.07759251446,0.001432946301,,1.993797719,1.993797719,1.993797719,1.993797719
178,rain,medium,11,Himachal Pradesh,76.26650241,32.09850004,2007-8-12,774,6.604858232,261.9635538,0.2495967448,-0.2734382749,9.025399208,4,22.41358757,62.83369446,96.72623634,172.1153717
234,rain,medium,0,Kashmir,75.30979782,33.16620058,2007-09-05,946,28.84262459,357.9876943,0.2351304442,-0.2834295034,3.310926437,7,5.207120895,11.99086475,45.97051239,119.4482698
237,rain,large,0,Uttarakhand,80.21669964,29.5832995,2007-09-06,1579,10.88920522,255.3779454,0.389834851,-0.4269765317,47.18540573,4,122.0335236,140.816246,189.1653261,299.037333
395,rain,medium,13,Kashmir,76.83271015,34.93977235,2007-12-16,4782,48.88679464,271.6191724,0.00834149681,-0.02784186788,0.008055598475,9,2.120476007,4.255450755,7.407230824,11.78144976
410,rain,medium,1,Kashmir,75.54640218,33.15169958,2008-01-06,1200,37.04404653,92.45846509,0.3364379704,-0.3857414424,13.68445492,7,2.596991062,2.596991062,2.596991062,16.97579241
416,rain,medium,0,Kashmir,75.19230051,33.43409891,2008-01-07,1703,35.28768849,61.29253374,0.6032790542,-0.5854474902,4.919126511,7,6.05556345,8.759898663,8.759898663,45.11641741
419,rain,medium,0,Kashmir,75.24528355,33.23738121,2008-01-09,875,32.85292085,219.0045166,0.1671039462,-0.2202363312,7.944568634,7,22.34680796,22.34680796,22.34680796,47.62740898
