system:index,aspect,elevation,label,ndvi,ndwi,point_id,population,rainfall_14d,rainfall_30d,rainfall_3d,rainfall_7d,road_distance_m,slope,soil_type,.geo
0,130.8334695948357,405,0,0.6033626289644631,-0.4727974727974728,"NL_ee.String({
  ""type"": ""Invocation"",
  ""arguments"": {
    ""element"": {
      ""type"": ""ArgumentRef"",
      ""value"": ""_MAPPING_VAR_0_0""
    }
  },
  ""functionName"": ""Feature.id""
})",,326.67076110839844,612.0512790679932,111.36339569091797,235.59526824951172,-9999,4.247640122607501,4,"{""type"":""Point"",""coordinates"":[77.79145825307674,30.20907247376012]}"
1,177.00295235911847,5287,0,0.018161180476730987,-0.07425149700598803,"NL_ee.String({
  ""type"": ""Invocation"",
  ""arguments"": {
    ""element"": {
      ""type"": ""ArgumentRef"",
      ""value"": ""_MAPPING_VAR_0_0""
    }
  },
  ""functionName"": ""Feature.id""
})",,62.900017738342285,62.900017738342285,53.9143009185791,62.900017738342285,-9999,47.78525275459451,9,"{""type"":""Point"",""coordinates"":[77.3943249403832,32.57937012480863]}"
2,106.06108674056152,205,0,0.4072289156626506,-0.4348894348894349,"NL_ee.String({
  ""type"": ""Invocation"",
  ""arguments"": {
    ""element"": {
      ""type"": ""ArgumentRef"",
      ""value"": ""_MAPPING_VAR_0_0""
    }
  },
  ""functionName"": ""Feature.id""
})",,10.407777786254883,175.52502632141113,0.0,0.0,-9999,3.3486147935453063,7,"{""type"":""Point"",""coordinates"":[74.79311238515751,30.26572110039021]}"
3,343.7000666959722,4992,0,0.009499136442141624,-0.05362776025236593,"NL_ee.String({
  ""type"": ""Invocation"",
  ""arguments"": {
    ""element"": {
      ""type"": ""ArgumentRef"",
      ""value"": ""_MAPPING_VAR_0_0""
    }
  },
  ""functionName"": ""Feature.id""
})",,82.5400276184082,144.4094066619873,53.91204833984375,53.91204833984375,-9999,3.8594802103973374,9,"{""type"":""Point"",""coordinates"":[78.61683683868031,31.247410652105636]}"
4,149.4115112824457,4711,0,0.10003691399040236,-0.2148389726865063,"NL_ee.String({
  ""type"": ""Invocation"",
  ""arguments"": {
    ""element"": {
      ""type"": ""ArgumentRef"",
      ""value"": ""_MAPPING_VAR_0_0""
    }
  },
  ""functionName"": ""Feature.id""
})",,18.993497848510742,30.200051307678223,9.352599620819092,18.993497848510742,-9999,4.301580194266413,9,"{""type"":""Point"",""coordinates"":[80.690235027991,32.237729510184685]}"
5,228.75265145027723,231,0,0.7157036511875221,-0.6138712904301434,"NL_ee.String({
  ""type"": ""Invocation"",
  ""arguments"": {
    ""element"": {
      ""type"": ""ArgumentRef"",
      ""value"": ""_MAPPING_VAR_0_0""
    }
  },
  ""functionName"": ""Feature.id""
})",,0.0,145.69999980926514,0.0,0.0,-9999,1.4064752487549674,6,"{""type"":""Point"",""coordinates"":[75.4888035109884,28.729971518030702]}"
6,357.37128533332634,4928,0,0.10420475319926874,-0.17930361210543444,"NL_ee.String({
  ""type"": ""Invocation"",
  ""arguments"": {
    ""element"": {
      ""type"": ""ArgumentRef"",
      ""value"": ""_MAPPING_VAR_0_0""
    }
  },
  ""functionName"": ""Feature.id""
})",,0.0,0.0,0.0,0.0,-9999,22.846927589711512,9,"{""type"":""Point"",""coordinates"":[78.22065182744805,33.099354783729204]}"
7,204.52276719113596,778,0,-0.031438127090301006,0.06640876853642812,"NL_ee.String({
  ""type"": ""Invocation"",
  ""arguments"": {
    ""element"": {
      ""type"": ""ArgumentRef"",
      ""value"": ""_MAPPING_VAR_0_0""
    }
  },
  ""functionName"": ""Feature.id""
})",,404.70469665527344,835.2865104675293,74.87321472167969,247.97840118408203,-9999,13.023791970803066,7,"{""type"":""Point"",""coordinates"":[75.6056813594108,32.53389091283439]}"
8,284.4896006568719,587,0,0.4015375517445299,-0.2810810810810811,"NL_ee.String({
  ""type"": ""Invocation"",
  ""arguments"": {
    ""element"": {
      ""type"": ""ArgumentRef"",
      ""value"": ""_MAPPING_VAR_0_0""
    }
  },
  ""functionName"": ""Feature.id""
})",,225.38433647155762,670.392499923706,40.257843017578125,126.73382568359375,-9999,14.509412980381898,4,"{""type"":""Point"",""coordinates"":[75.10625587808993,32.87262119293467]}"
9,149.29651456832278,5369,0,0.1217352810978309,-0.28956743002544527,"NL_ee.String({
  ""type"": ""Invocation"",
  ""arguments"": {
    ""element"": {
      ""type"": ""ArgumentRef"",
      ""value"": ""_MAPPING_VAR_0_0""
    }
  },
  ""functionName"": ""Feature.id""
})",,37.47020149230957,37.47020149230957,32.78642654418945,37.47020149230957,-9999,38.334477269967394,9,"{""type"":""Point"",""coordinates"":[77.41597872123022,32.65027413588478]}"
10,227.74131920414138,2302,0,-0.09799147900182593,0.10344827586206896,"NL_ee.String({
  ""type"": ""Invocation"",
  ""arguments"": {
    ""element"": {
      ""type"": ""ArgumentRef"",
      ""value"": ""_MAPPING_VAR_0_0""
    }
  },
  ""functionName"": ""Feature.id""
})",,431.4239273071289,712.7138748168945,126.96542739868164,346.22997856140137,-9999,45.31382761691664,9,"{""type"":""Point"",""coordinates"":[76.13330907282601,32.46581753540769]}"
11,111.02067981214529,4419,0,0.019775964596874567,-0.045809105091476385,"NL_ee.String({
  ""type"": ""Invocation"",
  ""arguments"": {
    ""element"": {
      ""type"": ""ArgumentRef"",
      ""value"": ""_MAPPING_VAR_0_0""
    }
  },
  ""functionName"": ""Feature.id""
})",,85.74993896484375,111.93945789337158,52.17084503173828,69.56112670898438,-9999,42.0683871111212,7,"{""type"":""Point"",""coordinates"":[77.3481192092088,32.283720011278305]}"
12,198.4809586675085,214,0,0.39923224568138194,-0.33394327538883806,"NL_ee.String({
  ""type"": ""Invocation"",
  ""arguments"": {
    ""element"": {
      ""type"": ""ArgumentRef"",
      ""value"": ""_MAPPING_VAR_0_0""
    }
  },
  ""functionName"": ""Feature.id""
})",,15.249139785766602,234.5189619064331,7.2129669189453125,15.249139785766602,-9999,6.8131679349577405,7,"{""type"":""Point"",""coordinates"":[74.41973221415952,31.256481420466535]}"
